date,open,high,low,close,volume,amount
2008-05-15,2302.83,2332.91,2273.65,2274.26,4.82165273,77.73133131600001
2008-05-16,2261.53,2333.45,2243.26,2281.44,4.37535828,71.1494136473
2008-05-19,2272.33,2289.05,2223.83,2231.72,3.54432441,57.2472271462
2008-05-20,2230.36,2249.12,2077.82,2088.18,4.24131054,64.4560641649
2008-05-21,2061.23,2148.98,1995.0,2132.8,4.42808216,62.5680325005
2008-05-22,2103.11,2187.48,2089.2,2128.28,4.25865531,62.6120307229
2008-05-23,2112.83,2126.82,2048.88,2080.67,3.1722199,44.1317657508
2008-05-26,2069.37,2088.36,2023.62,2045.72,2.74130078,40.7906260876
2008-05-27,2030.08,2061.78,2002.09,2025.43,2.55003201,34.0373476822
2008-05-28,2031.86,2110.76,2016.65,2095.78,4.40164074,58.9538621318
2008-05-29,2086.98,2098.4,2037.58,2037.58,3.41539101,46.481125677799994
2008-05-30,2035.32,2050.79,1992.43,2025.2,2.65722934,34.3772241575
2008-06-02,2015.76,2060.79,1970.97,2021.77,2.76000112,33.1498096283
2008-06-03,2020.49,2056.78,1961.97,2011.28,2.91995603,38.646469914
2008-06-04,1995.47,2019.03,1906.43,1941.78,2.8155327,33.7034458904
2008-06-05,1931.52,1944.42,1898.29,1898.29,2.70659902,33.7327565218
2008-06-06,1901.28,1918.94,1883.13,1896.72,2.02097145,24.565600803400002
2008-06-10,1815.32,1858.54,1716.58,1722.86,2.54082487,30.614153650100004
2008-06-11,1679.2,1788.78,1658.1,1762.25,3.55693689,43.011568196000006
2008-06-12,1740.95,1812.82,1734.36,1764.93,3.91692113,52.0100234751
2008-06-13,1761.87,1771.14,1636.51,1637.96,2.67038464,31.3607913193
2008-06-16,1629.94,1655.18,1551.21,1585.07,2.63821399,29.9316028944
2008-06-17,1585.13,1607.16,1497.39,1510.45,2.70012273,30.4521656032
2008-06-18,1492.16,1620.56,1455.19,1607.99,3.7574972,41.766650373800005
2008-06-19,1586.83,1600.89,1465.14,1466.84,3.14806388,34.2186991758
2008-06-20,1474.59,1545.01,1402.74,1477.49,3.45839198,35.359307445
2008-06-23,1461.6,1490.65,1427.24,1438.63,2.14586815,22.390285768400002
2008-06-24,1424.42,1489.81,1424.29,1482.02,2.46765516,25.641057876399998
2008-06-25,1482.8,1601.01,1481.13,1596.68,4.15276514,44.2411553472
2008-06-26,1612.0,1667.45,1606.67,1642.48,4.91832704,61.4404987117
2008-06-27,1588.44,1602.34,1510.53,1537.75,4.30116266,47.5440430493
2008-06-30,1516.23,1603.76,1505.83,1573.68,3.34974702,39.291423155100006
2008-07-01,1582.81,1589.76,1535.92,1551.89,2.80681088,29.941057896300002
2008-07-02,1554.31,1631.54,1539.45,1609.08,3.46466813,41.5474806958
2008-07-03,1598.18,1730.54,1583.77,1717.96,5.69330667,67.3142288812
2008-07-04,1723.82,1751.95,1695.98,1736.55,6.13984157,73.8396950385
2008-07-07,1745.76,1804.68,1730.88,1799.47,6.24507803,78.2527311858
2008-07-08,1791.66,1873.36,1762.71,1845.83,7.01665793,86.5722114588
2008-07-09,1834.08,1867.64,1827.63,1865.11,6.31276042,70.5050063657
2008-07-10,1853.43,1906.93,1788.11,1788.11,6.97458331,90.383932865
2008-07-11,1758.14,1780.98,1708.03,1747.31,4.87605831,60.0579260068
2008-07-14,1737.15,1807.93,1728.68,1807.93,4.28766813,52.9287522586
2008-07-15,1807.01,1834.96,1759.08,1805.56,5.47216077,66.21666277199999
2008-07-16,1774.84,1826.14,1721.75,1751.7,4.80599795,56.2268605458
